latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-10.15522,-49.14978,307.54,1.06,1.03,2022-06-29,0134,T,72,6.1NRT,291.79,8.18,N
-10.1447,-49.14154,305.6,1.06,1.03,2022-06-29,0134,T,65,6.1NRT,291.66,6.87,N
-10.146,-49.1511,311.12,1.06,1.03,2022-06-29,0134,T,82,6.1NRT,291.73,10.83,N
-10.62169,-53.68927,332.48,2.07,1.4,2022-06-29,0134,T,100,6.1NRT,294.57,92.49,N
-10.62394,-53.70816,317.72,2.07,1.4,2022-06-29,0134,T,96,6.1NRT,293.13,44.88,N
-10.61825,-53.67606,309.23,2.06,1.4,2022-06-29,0134,T,77,6.1NRT,291.7,26.36,N
-10.62063,-53.69492,335.5,2.07,1.4,2022-06-29,0134,T,100,6.1NRT,295.59,106.16,N
-10.62302,-53.71375,311.34,2.07,1.4,2022-06-29,0134,T,82,6.1NRT,292.02,29.76,N
-10.60805,-53.69643,333.98,2.07,1.4,2022-06-29,0134,T,100,6.1NRT,293.22,97.64,N
-10.61042,-53.71532,314.18,2.07,1.4,2022-06-29,0134,T,89,6.1NRT,291.43,35.11,N
-9.81538,-48.54776,310.37,1.02,1.01,2022-06-29,0134,T,80,6.1NRT,291.34,10.54,N
-9.51717,-48.25471,312.23,1,1,2022-06-29,0134,T,84,6.1NRT,293.79,10.95,N
-9.51844,-48.26379,309.71,1.01,1,2022-06-29,0134,T,78,6.1NRT,293.8,9.09,N
-8.97512,-45.33687,301.37,1.19,1.08,2022-06-29,0134,T,14,6.1NRT,289.07,5.95,N
-8.9686,-45.35963,306.34,1.18,1.08,2022-06-29,0134,T,68,6.1NRT,290.22,9.49,N
-9.54995,-49.49532,309.73,1.08,1.04,2022-06-29,0134,T,78,6.1NRT,293.89,9.84,N
-9.55128,-49.50508,307.41,1.08,1.04,2022-06-29,0134,T,71,6.1NRT,293.77,8.06,N
-8.16288,-41.22599,303.25,2.39,1.49,2022-06-29,0134,T,54,6.1NRT,291.34,18.31,N
-9.04129,-47.87748,302.94,1,1,2022-06-29,0134,T,52,6.1NRT,292.19,4.4,N
-9.29405,-50.10575,343.18,1.14,1.06,2022-06-29,0134,T,100,6.1NRT,294.88,58.48,N
-9.29544,-50.11604,362.35,1.14,1.06,2022-06-29,0134,T,100,6.1NRT,295.87,112,N
-9.29683,-50.12634,307.15,1.14,1.06,2022-06-29,0134,T,70,6.1NRT,292.39,9,N
-9.2859,-50.11738,316.16,1.14,1.06,2022-06-29,0134,T,93,6.1NRT,292.35,16.8,N
-8.56314,-45.11213,305.47,1.24,1.1,2022-06-29,0134,T,61,6.1NRT,291.5,8.48,N
-8.98272,-47.98457,305.52,1,1,2022-06-29,0134,T,65,6.1NRT,292.53,6.32,N
-8.55494,-45.12487,307.9,1.23,1.1,2022-06-29,0134,T,73,6.1NRT,291.39,10.85,N
-9.83271,-54.71017,300.42,2.42,1.5,2022-06-29,0134,T,22,6.1NRT,288.26,16.19,N
